InventoryId,Store,City,Brand,Description,Size,onHand,Price,endDate
1_HARDERSFIELD_4483,1,HARDERSFIELD,4483,Casamigos Reposado,50mL,2,2.49,2024-12-31
1_HARDERSFIELD_4488,1,HARDERSFIELD,4488,Zhenka Tropical Dark Rum,1.75L,29,11.49,2024-12-31
1_HARDERSFIELD_4491,1,HARDERSFIELD,4491,Calvados Marquis De St Loup,750mL,2,28.99,2024-12-31
1_HARDERSFIELD_4494,1,HARDERSFIELD,4494,Jenkins French Brandy,1.75L,17,14.99,2024-12-31
1_HARDERSFIELD_4498,1,HARDERSFIELD,4498,Calvados Boulard Grnd Brandy,750mL,3,35.99,2024-12-31
1_HARDERSFIELD_4502,1,HARDERSFIELD,4502,E & J XO Brandy,1.75L,6,21.99,2024-12-31
1_HARDERSFIELD_4513,1,HARDERSFIELD,4513,Chauffe-Coeur Calvados VSOP,750mL,8,44.99,2024-12-31
1_HARDERSFIELD_4521,1,HARDERSFIELD,4521,Appleton Estate Reserve Rum,750mL,6,21.99,2024-12-31
1_HARDERSFIELD_4522,1,HARDERSFIELD,4522,Lairds Apple Jack,750mL,6,15.99,2024-12-31
1_HARDERSFIELD_4524,1,HARDERSFIELD,4524,Smoky Quartz Granite Cst Rum,750mL,10,27.49,2024-12-31
1_HARDERSFIELD_4528,1,HARDERSFIELD,4528,Remy Martin XO Cognac,750mL,13,144.99,2024-12-31
1_HARDERSFIELD_4540,1,HARDERSFIELD,4540,Chase Elderflower Liqueur,750mL,3,24.99,2024-12-31
1_HARDERSFIELD_4550,1,HARDERSFIELD,4550,E & J XO Brandy,750mL,14,12.99,2024-12-31
1_HARDERSFIELD_4563,1,HARDERSFIELD,4563,Christian Bros Brandy,1.75L,15,18.99,2024-12-31
1_HARDERSFIELD_4565,1,HARDERSFIELD,4565,Christian Bros VS Brandy,750mL,27,9.49,2024-12-31
1_HARDERSFIELD_4582,1,HARDERSFIELD,4582,Diplomatico Venezln Rsva Rum,750mL,4,34.99,2024-12-31
1_HARDERSFIELD_4620,1,HARDERSFIELD,4620,Papa's Pilar Blonde Rum,750mL,3,24.99,2024-12-31
1_HARDERSFIELD_4624,1,HARDERSFIELD,4624,Meukow 90,750mL,14,19.99,2024-12-31
