VendorNumber,VendorName,BrandCount,CategoryCount,PurchaseQuantity,SalesQuantity,PurchaseCost,Revenue,GrossProfit,AllocatedFreight,AdjustedProfit,ExciseTax,InventoryAtRisk,UnsoldQuantity,PurchaseLineCount,InvoiceCount,AvgLeadDaysWeightedSum,AvgLeadDaysWeight,GrossMarginPct,AdjustedMarginPct,StockTurnover,SalesToPurchaseRatio,AvgLeadDays,RevenueSharePct,CostSharePct,PerformanceScore,PerformanceRank,PerformanceTier
6213,MHW LTD,92,2,215201.0,212350.0,1888333.01,2586254.5,697921.4899999999,9621.58,688299.9099999999,99410.72,105322.87,15167.0,13923.0,55.0,106052.0,13923.0,26.985800894691526,26.613773315812495,0.9867519202977681,1.3695966158003032,7.617036558213028,0.5721005201694962,0.5866196083413832,64.72868217054263,41,Stable
9165,ULTRA BEVERAGE COMPANY LLP,905,2,1077527.0,1043235.0,13210613.93,17822938.45,4612324.52,68054.7,4544269.82,310243.81,1475999.28,88713.0,84034.0,55.0,706766.0,84034.0,25.87858636744605,25.496748657626654,0.9681752754223328,1.349137787572905,8.410476711807126,3.942578875433146,4.103939892236391,63.91472868217054,42,Stable
4380,CHARLES JACQUIN ET CIE INC,14,2,43947.0,43474.0,329637.62,450266.16,120628.54,1675.3899999999999,118953.15,34505.58,8756.460000000001,1021.0,4637.0,55.0,34319.0,4637.0,26.79049653653741,26.418407725777126,0.9892370355200583,1.365942879941919,7.401121414707785,0.09960253499828482,0.10240349054692725,62.98449612403102,43,Stable
9744,FREDERICK WILDMAN & SONS,141,2,70932.0,69327.0,759449.24,1143044.57,383595.33,3999.93,379595.4,14262.41,95320.33,7086.0,5918.0,55.0,48062.0,5918.0,33.55908772656171,33.20915124070796,0.9773726949754694,1.5050967329956115,8.121324771882392,0.2528507511824216,0.23592650944759003,62.32558139534884,44,Stable
3089,SIDNEY FRANK IMPORTING CO,13,1,186464.0,188625.0,1715908.8800000001,2256371.25,540462.37,8549.55,531912.8200000001,104874.33,58745.08000000001,5129.0,8804.0,55.0,68506.0,8804.0,23.952723648646028,23.573816587141856,1.0115893684571822,1.3149714861315944,7.781235801908224,0.499127663507399,0.5330552343281345,61.7829457364341,45,Stable
8320,SHAW ROSS INT L IMP LTD,35,2,69127.0,68146.0,624979.64,856945.64,231965.99999999994,3151.92,228814.07999999993,52352.27,20875.19,1344.0,8390.0,55.0,65775.0,8390.0,27.068928199459645,26.701119571598486,0.985808728861371,1.3711576908329366,7.8396901072705605,0.18956334204579706,0.19415289024584634,60.58139534883722,46,Stable
4950,LATITUDE BEVERAGE COMPANY,43,1,53090.0,49789.0,316446.76,471551.11,155104.35,1610.0,153494.35,5546.24,21620.88,3351.0,3754.0,55.0,28549.0,3754.0,32.89237300279073,32.550946598344346,0.937822565454888,1.4901435868706634,7.604954714970698,0.10431093897275126,0.09830568730676359,60.50387596899225,47,Stable
8735,SURVILLE ENTERPRISES CORP,21,2,6504.0,6515.0,51325.77,80444.84999999999,29119.079999999998,263.32,28855.76,1400.52,4658.4400000000005,450.0,668.0,54.0,5300.0,668.0,36.19756889347174,35.87023905197163,1.0016912669126692,1.5673383955077536,7.934131736526946,0.01779505479060823,0.015944593954442345,60.03875968992249,48,Stable
90047,CRUSH WINES,153,1,26349.0,25333.0,287189.9,420237.07,133047.16999999998,1457.7299999999998,131589.44,2763.6600000000003,45812.9,3489.0,2056.0,55.0,15768.0,2056.0,31.660027041403076,31.31314426878143,0.9614406618847015,1.4632724549157194,7.669260700389105,0.09295985617096267,0.08921690494496043,59.84496124031008,49,Watchlist
90037,THE PIERPONT GROUP LLC,11,2,580.0,1079.0,5713.19,17937.21,12224.02,27.980000000000004,12196.04,616.4200000000001,421.13,56.0,62.0,25.0,511.0,62.0,68.14894847080456,67.99295988618074,1.860344827586207,3.139613770940578,8.241935483870968,0.003967856671255474,0.0017748295784862156,59.147286821705436,50,Watchlist
17031,FLAG HILL WINERY & VINEYARD,19,2,20608.0,20788.0,300403.2,411807.12,111403.92,1573.31,109830.61,8450.630000000001,12197.2,665.0,1864.0,55.0,14940.0,1864.0,27.052451157231083,26.670400939158117,1.0087344720496894,1.3708479803144573,8.015021459227468,0.09109508270029193,0.09332167927758579,58.83720930232559,51,Watchlist
7240,"PREMIUM PORT WINES, INC.",2,1,8167.0,8024.0,59760.74,86057.76,26297.02,301.2,25995.82,889.54,1113.52,143.0,692.0,53.0,5163.0,692.0,30.557407025235143,30.207409535177305,0.9824905105914045,1.4400383930988805,7.460982658959537,0.0190366761123554,0.01856495740282125,57.40310077519379,52,Watchlist
7239,REMY COINTREAU USA INC,44,2,142363.0,135195.0,3354958.2800000003,4294875.05,939916.77,16978.67,922938.1000000001,114003.51,223762.81,7659.0,12666.0,55.0,96045.0,12666.0,21.884612685065193,21.489288727968933,0.9496498387923828,1.280157513612956,7.582899099952629,0.9500612759370707,1.0422337065511982,57.17054263565892,53,Watchlist
3664,WILLIAM GRANT & SONS INC,82,2,302685.0,283313.0,5960744.35,7635828.27,1675083.92,30234.420000000002,1644849.5,261087.06,502617.82,22227.0,28532.0,55.0,225903.0,28532.0,21.937160721400037,21.541206033435323,0.9359994713976576,1.281019252234832,7.917531193046404,1.6891072882393994,1.8517335117814375,57.054263565891475,54,Watchlist
8920,TAKARA SAKE USA INC,3,2,9066.0,8973.0,45289.34,64082.97,18793.63,232.99000000000004,18560.64,5327.7,384.99999999999994,93.0,737.0,55.0,5414.0,737.0,29.327027133729917,28.963451600323765,0.9897418927862343,1.4149680697488638,7.345997286295794,0.014175673921884416,0.014069348336414315,56.74418604651162,55,Watchlist
8663,STAR INDUSTRIES INC.,3,1,151.0,428.0,2452.29,7914.719999999999,5462.43,12.439999999999998,5449.990000000001,344.1,0.0,0.0,17.0,13.0,140.0,17.0,69.01608648189703,68.85891099116584,2.834437086092715,3.227481252217315,8.235294117647058,0.0017508004061456113,0.000761815522856051,56.58914728682171,56,Watchlist
2396,BLACK PRINCE DISTILLERY INC,7,1,807.0,1115.0,5971.94,11818.849999999999,5846.909999999999,30.98,5815.929999999999,986.13,88.4,20.0,68.0,35.0,540.0,68.0,49.47105682871006,49.208933187239026,1.3816604708798017,1.9790637548267396,7.9411764705882355,0.0026144257004889694,0.0018552114935692617,56.511627906976734,57,Watchlist
98450,Serralles Usa LLC,14,1,10463.0,10607.0,168993.61000000002,204150.93,35157.31999999997,856.02,34301.299999999974,16430.92,25468.82,645.0,1509.0,54.0,10740.0,1509.0,17.221239207678344,16.801931786448378,1.0137627831405907,1.2080393453930003,7.117296222664016,0.045159845346266735,0.05249866669989339,56.12403100775194,58,Watchlist
9751,VINEDREA WINES LLC,1,1,205.0,440.0,4657.6,11385.6,6728.0,24.53,6703.47,346.96,0.0,0.0,33.0,20.0,291.0,33.0,59.092186621697586,58.87673903878583,2.1463414634146343,2.444520783236001,8.818181818181818,0.002518587278414331,0.0014469055369692586,55.891472868217065,59,Watchlist
