VendorNumber,VendorName,Brand,Description,Classification,PurchaseQuantity,SalesQuantity,PurchaseCost,Revenue,GrossProfit,GrossMarginPct,AllocatedFreight,AdjustedProfit,AdjustedMarginPct,ExciseTax,AvgUnitCost,AvgUnitRevenue,ReferencePurchasePrice,ReferenceRetailPrice,VolumeML,AvgLeadDays,StockTurnover,SalesToPurchaseRatio,UnsoldQuantity,InventoryAtRisk,PurchaseLineCount,InvoiceCount,InvoiceValue,LeadDaySum,LeadDayCount,FreightCost
90011,FORTUNE WINE BROKERS LLC,41318,R Perrin Chtnf du Pape,2,6.0,6.0,146.04,221.94,75.9,34.19843200865099,0.7423621260851846,75.15763787391482,33.863944252462296,0.67,24.34,36.99,24.34,36.99,750.0,9.0,1.0,1.519720624486442,0.0,0.0,1.0,53.0,46940.17,9.0,1.0,238.61
8112,MOET HENNESSY USA INC,43785,Newton Merlot Napa Unfilterd,2,6.0,6.0,146.04,221.94,75.9,34.19843200865099,0.7453433366460483,75.15465666335396,33.86260100178154,0.68,24.34,36.99,24.34,36.99,750.0,11.0,1.0,1.519720624486442,0.0,0.0,1.0,55.0,9472995.2,11.0,1.0,48347.26
9552,M S WALKER INC,20550,Fifty Shades Of Grey Red Sat,2,256.0,174.0,1827.8400000000001,1912.26,84.41999999999985,4.414671645069177,9.285070871547937,75.13492912845192,3.9291168109175487,19.400000000000002,7.140000000000001,10.99,7.14,10.99,750.0,8.375,0.6796875,1.0461856617647058,82.0,585.48,8.0,55.0,10935817.3,67.0,8.0,55551.82
516,BANFI PRODUCTS CORP,16987,Trivento Birds & Bees Sw Red,2,36.0,36.0,168.48,244.44,75.96000000000001,31.075110456553762,0.8802647229544901,75.07973527704551,30.71499561325704,4.050000000000001,4.68,6.79,4.68,6.79,750.0,7.5,1.0,1.450854700854701,0.0,0.0,2.0,55.0,1628866.68,15.0,2.0,8510.41
90011,FORTUNE WINE BROKERS LLC,46147,Calandray RSV Cotes Roussiln,2,12.0,12.0,140.16,215.88,75.72,35.07504168982768,0.7124724431121575,75.00752755688784,34.74500998558822,1.35,11.68,17.99,11.68,17.99,750.0,11.0,1.0,1.5402397260273972,0.0,0.0,1.0,53.0,46940.17,11.0,1.0,238.61
2000,SOUTHERN WINE & SPIRITS NE,34352,Turnbull Old Bull Napa Vly,2,0.0,3.0,0.0,74.97,74.97,100.0,0.0,74.97,100.0,0.33,0.0,24.99,16.44,24.99,750.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,3740617.38,0.0,0.0,19016.59
12546,JIM BEAM BRANDS COMPANY,167,Jim Beam Black VAP,1,0.0,3.0,0.0,74.97,74.97,100.0,0.0,74.97,100.0,2.3600000000000003,0.0,24.99,19.99,24.99,750.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,24203151.05,0.0,0.0,123880.97
12546,JIM BEAM BRANDS COMPANY,3934,Sauza Conmemorativo,1,0.0,3.0,0.0,74.97,74.97,100.0,0.0,74.97,100.0,5.51,0.0,24.99,18.11,34.99,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,24203151.05,0.0,0.0,123880.97
4692,KOBRAND CORPORATION,20418,Spalletti Chianti Clsco Rsva,2,0.0,5.0,0.0,74.95,74.95,100.0,0.0,74.95,100.0,0.55,0.0,14.99,10.34,14.99,750.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1808146.33,0.0,0.0,9139.380000000001
7153,PINE STATE TRADING CO,25001,Dom Fleurot-Larose Chass-Mon,2,4.0,4.0,148.32,223.96,75.64000000000001,33.77388819432042,0.7529506547339813,74.88704934526604,33.437689473685495,0.45,37.08,55.99,37.08,55.99,750.0,9.0,1.0,1.5099784250269688,0.0,0.0,1.0,55.0,3129071.59,9.0,1.0,15884.82
12546,JIM BEAM BRANDS COMPANY,905,DeKuyper Grape Pucker,1,128.0,101.0,1231.36,1311.99,80.63000000000011,6.145626109955114,6.302570723294312,74.3274292767058,5.6652435823981735,106.05000000000001,9.62,12.99,9.62,12.99,1000.0,7.043478260869565,0.7890625,1.0654804443866945,27.0,259.73999999999995,23.0,55.0,24203151.05,162.0,23.0,123880.97
6213,MHW LTD,853,Bols Butterscotch,1,33.0,32.0,244.2,319.68,75.48000000000002,23.611111111111114,1.2442666751877625,74.23573332481226,23.221888552556386,33.6,7.3999999999999995,9.99,7.4,9.99,1000.0,7.0,0.9696969696969697,1.309090909090909,1.0,7.3999999999999995,5.0,55.0,1888333.01,35.0,5.0,9621.58
4425,MARTIGNETTI COMPANIES,13942,Dom du Grand Tinel Establet,2,6.0,6.0,153.0,227.94,74.94,32.877072913924714,0.7958660692902217,74.14413393070977,32.527916965302175,0.68,25.5,37.99,25.5,37.99,750.0,11.0,1.0,1.4898039215686274,0.0,0.0,1.0,82.0,27861690.02,11.0,1.0,144929.24
